Date,Open,High,Low,Close,Volume
2022-12-30,128.41,129.95,127.43,129.93,"77,03M"
2023-01-03,130.28,130.9,124.17,125.07,"112,12M"
2023-01-04,126.89,128.66,125.08,126.36,"89,11M"
2023-01-05,127.13,127.77,124.76,125.02,"80,96M"
2023-01-06,126.01,130.29,124.89,129.62,"87,75M"
2023-01-09,130.46,133.41,129.89,130.15,"70,79M"
2023-01-10,130.26,131.26,128.12,130.73,"63,90M"
2023-01-11,131.25,133.51,130.46,133.49,"69,46M"
2023-01-12,133.88,134.26,131.44,133.41,"71,38M"
2023-01-13,132.03,134.92,131.66,134.76,"57,81M"
2023-01-17,134.83,137.29,134.13,135.94,"63,65M"
2023-01-18,136.82,138.61,135.03,135.21,"69,67M"
2023-01-19,134.08,136.25,133.77,135.27,"58,28M"
2023-01-20,135.28,138.02,134.22,137.87,"80,22M"
2023-01-23,138.12,143.32,137.9,141.11,"81,76M"
2023-01-24,140.3,143.16,140.3,142.53,"66,44M"
2023-01-25,140.89,142.43,138.81,141.86,"65,80M"
2023-01-26,143.17,144.25,141.9,143.96,"54,11M"
2023-01-27,143.15,147.23,143.08,145.93,"70,56M"
2023-01-30,144.96,145.55,142.85,143,"64,02M"
2023-01-31,142.7,144.34,142.28,144.29,"65,87M"
2023-02-01,143.97,146.61,141.32,145.43,"77,66M"
2023-02-02,148.9,151.18,148.17,150.82,"118,34M"
2023-02-03,148.03,157.38,147.83,154.5,"154,36M"
2023-02-06,152.57,153.1,150.78,151.73,"69,86M"
2023-02-07,150.64,155.23,150.64,154.65,"83,32M"
2023-02-08,153.88,154.58,151.17,151.92,"64,12M"
2023-02-09,153.77,154.33,150.42,150.87,"56,01M"
2023-02-10,149.46,151.34,149.22,151.01,"57,45M"
2023-02-13,150.95,154.26,150.92,153.85,"62,20M"
2023-02-14,152.12,153.77,150.86,153.2,"61,71M"
2023-02-15,153.11,155.5,152.88,155.33,"65,67M"
2023-02-16,153.51,156.33,153.35,153.71,"68,17M"
2023-02-17,152.35,153,150.85,152.55,"59,14M"
2023-02-21,150.2,151.3,148.4,148.48,"58,87M"
2023-02-22,148.87,149.95,147.16,148.91,"51,01M"
2023-02-23,150.09,150.34,147.24,149.4,"48,39M"
